epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
524,109,9.589999999999979,0 days 00:00:18.807616,1.3506575,15107,1,0.4121000000000121,15107,0 days 01:00:39.954233,True,True,10000
525,61,4.789999999999996,0 days 00:00:08.029194,1.5018579,15169,1,0.41224000000001226,15169,0 days 01:00:51.609372,True,True,10000
526,119,10.589999999999975,0 days 00:00:21.756178,1.2364602,15289,1,0.41252000000001254,15289,0 days 01:01:16.986685,True,True,10000
527,70,5.689999999999992,0 days 00:00:10.991238,1.6739804,15360,1,0.4126800000000127,15360,0 days 01:01:31.607309,True,True,10000
528,55,4.189999999999998,0 days 00:00:09.576062,1.6154501,15416,1,0.4128000000000128,15416,0 days 01:01:44.809267,True,True,10000
529,28,1.490000000000001,0 days 00:00:04.586968,1.8146565,15445,1,0.4128600000000129,15445,0 days 01:01:53.019764,True,True,10000
530,9,-0.41000000000000003,0 days 00:00:05.083574,1.5370557,15455,1,0.4128800000000129,15455,0 days 01:02:01.717420,True,True,10000
531,6,-0.71,0 days 00:00:03.878926,1.8491169,15462,1,0.4129000000000129,15462,0 days 01:02:09.213123,True,True,10000
532,5,-0.8099999999999999,0 days 00:00:03.814440,1.8687254,15468,1,0.41292000000001294,15468,0 days 01:02:16.648147,True,True,10000
533,8,-0.51,0 days 00:00:05.580914,1.7473894,15477,1,0.41294000000001296,15477,0 days 01:02:25.848126,True,True,10000
534,13,-0.01000000000000012,0 days 00:00:08.477997,1.5940325,15491,1,0.412960000000013,15491,0 days 01:02:37.945705,True,True,10000
535,16,0.29000000000000004,0 days 00:00:10.026128,1.4968249,15508,1,0.413000000000013,15508,0 days 01:02:51.594360,True,True,10000
536,31,1.7900000000000014,0 days 00:00:06.334536,1.5317066,15540,1,0.4130600000000131,15540,0 days 01:03:01.552919,True,True,10000
537,56,4.289999999999997,0 days 00:00:12.088271,1.5956811,15597,1,0.4132000000000132,15597,0 days 01:03:17.257630,True,True,10000
538,163,14.989999999999958,0 days 00:00:21.119048,1.8231514,15761,1,0.4136000000000136,15761,0 days 01:03:41.988801,True,True,10000
539,76,6.28999999999999,0 days 00:00:13.203578,1.7474416,15838,1,0.4137800000000138,15838,0 days 01:03:58.807173,True,True,10000
540,41,2.7900000000000023,0 days 00:00:03.716055,2.030241,15880,1,0.4138800000000139,15880,0 days 01:04:06.138800,True,True,10000
541,116,10.289999999999976,0 days 00:00:27.000295,1.8217344,15997,1,0.4141600000000142,15997,0 days 01:04:36.755279,True,True,10000
542,15,0.18999999999999995,0 days 00:00:06.456128,1.4298158,16013,1,0.4141800000000142,16013,0 days 01:04:46.828806,True,True,10000
543,24,1.0900000000000007,0 days 00:00:07.022099,1.6234996,16038,1,0.41424000000001426,16038,0 days 01:04:57.461935,True,True,10000
