epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net
2716,341,32.79000000000021,0 days 00:00:52.850086,12.694944,146576,1,1.0,146576,0 days 11:02:16.272538,True,True
2717,507,49.39000000000045,0 days 00:01:18.887428,12.58646,147084,1,1.0,147084,0 days 11:03:38.816150,True,True
2718,283,26.990000000000126,0 days 00:00:52.116239,12.368315,147368,1,1.0,147368,0 days 11:04:34.583246,True,True
2719,612,59.8900000000006,0 days 00:01:39.989222,12.386214,147981,1,1.0,147981,0 days 11:06:18.231511,True,True
2720,323,30.990000000000187,0 days 00:00:59.724330,12.1703005,148305,1,1.0,148305,0 days 11:07:21.616361,True,True
2721,395,38.19000000000029,0 days 00:01:09.248499,12.421947,148701,1,1.0,148701,0 days 11:08:34.515819,True,True
2722,334,32.0900000000002,0 days 00:00:57.207693,12.416138,149036,1,1.0,149036,0 days 11:09:35.378280,True,True
2723,419,40.59000000000032,0 days 00:01:19.346261,12.244909,149456,1,1.0,149456,0 days 11:10:58.374570,True,True
2724,345,33.19000000000022,0 days 00:00:54.432217,12.425052,149802,1,1.0,149802,0 days 11:11:56.464423,True,True
2725,326,31.29000000000019,0 days 00:01:02.752483,12.304122,150129,1,1.0,150000,0 days 11:13:02.858898,True,True
2726,286,27.29000000000013,0 days 00:01:03.601305,12.517671,150416,1,1.0,150000,0 days 11:14:10.113593,True,True
